bug_type,count,exact_match_raw,exact_match_norm,rouge1_f1,rougeL_f1,sacreBLEU
other,1548,0.020025839793281652,0.020025839793281652,0.8427538553276294,0.835385211839765,67.45092662601382
unknown,480,0.4875,0.5229166666666667,0.9612702448826655,0.9591018418206538,100.00000000000004
algorithm,107,0.4766355140186916,0.5046728971962616,0.9320087548985871,0.9311952981013852,88.74740939852293
logic,87,0.034482758620689655,0.04597701149425287,0.8268747693763934,0.8088473493694208,95.64075393655841
type,69,0.0,0.0,0.8171290768637932,0.8143505097203496,66.52686166631952
assignment,56,0.32142857142857145,0.32142857142857145,0.8852684469122742,0.877078751175727,100.00000000000004
build_package_merge,55,0.7818181818181819,0.7818181818181819,0.9743899344354361,0.9738034241715063,100.00000000000004
checking,53,0.3584905660377358,0.3584905660377358,0.9099091839611695,0.9096389569467317,45.154353252898716
timing_serialization,28,0.42857142857142855,0.42857142857142855,0.9295928061004428,0.9283996597355341,74.43733193120507
reference,17,0.29411764705882354,0.29411764705882354,0.8754493305734223,0.8739410349474797,96.3344350341361
syntax,10,0.0,0.0,0.8679962189374454,0.8554606064018329,74.32076244707775
